expression,normalized_expression,entry_kind,meaning_ja_primary,meaning_ja_all,parari_level,importance,min_eiken_level,eiken_levels,label_raw_all,source_refs,row_count
name,name,word,名前なまえ,名前なまえ,junior_high,1,5,5;4,,5:113;4:540,2
nature,nature,word,自然しぜん,自然しぜん / 自然，天然,junior_high,1,5,5;4;3;pre2;2,名詞,5:435;4:133;3:488;pre2:988;2:1433,5
never,never,word,１度どもない,１度どもない,junior_high,1,5,5;4;3,副詞,5:352;4:695;3:612,3
new,new,word,新あたらしい,新あたらしい,junior_high,1,5,5;4,,5:79;4:525,2
newspaper,newspaper,word,新聞しんぶん,新聞しんぶん,junior_high,1,5,5;4,,5:566;4:615,2
nice,nice,word,良よい,良よい,junior_high,1,5,5;4,,5:122;4:691,2
night,night,word,夜よる,夜よる,junior_high,1,5,5;4,,5:290;4:557,2
nine,nine,word,9,9,junior_high,1,5,5;4,,5:189;4:373,2
nineteen,nineteen,word,19,19,junior_high,1,5,5;4,,5:515;4:522,2
ninety,ninety,word,90,90,junior_high,1,5,5;4,,5:422;4:430,2
nose,nose,word,鼻はな,鼻はな,junior_high,1,5,5;4,,5:224;4:578,2
not,not,word,～でない,～でない,junior_high,1,5,5;4,,5:70;4:377,2
number,number,word,数かず,数かず,junior_high,1,5,5;4,,5:425;4:408,2
nurse,nurse,word,看護師かんごし,看護師かんごし,junior_high,1,5,5;4,,5:274;4:506,2
old,old,word,古ふるい,古ふるい,junior_high,1,5,5;4,,5:34;4:582,2
on,on,word,の上うえに,の上うえに,junior_high,1,5,5;4,,5:20;4:381,2
one,one,word,一ひとつの,一ひとつの / 1つの / 1,junior_high,1,5,5;4,,5:25;5:83;4:5;4:581,4
our,our,word,私わたしたちの,私わたしたちの,junior_high,1,5,5;4,,5:35;4:545,2
out,out,word,外そとに,外そとに,junior_high,1,5,5;4,,5:109;4:665,2
park,park,word,公園こうえん,公園こうえん,junior_high,1,5,5;4,,5:151;4:493,2
pencil,pencil,word,鉛筆えんぴつ,鉛筆えんぴつ,junior_high,1,5,5;4,,5:389;4:637,2
picture,picture,word,絵え、写真しゃしん,絵え、写真しゃしん,junior_high,1,5,5;4;3,名詞,5:471;4:495;3:510,3
pig,pig,word,ブタ,ブタ,junior_high,1,5,5;4,,5:96;4:134,2
place,place,word,場所ばしょ,場所ばしょ,junior_high,1,5,5;4;3,名詞,5:277;4:600;3:103,3
play,play,word,劇げき,劇げき,junior_high,1,5,5;4,,5:171;4:455,2
player,player,word,選手せんしゅ,選手せんしゅ,junior_high,1,5,5;4,,5:421;4:486,2
please,please,word,喜よろこばせる,喜よろこばせる,junior_high,1,5,5;4,,5:391;4:199,2
practice,practice,word,練習れんしゅうする,練習れんしゅうする,junior_high,1,5,5;4;3,動詞,5:533;4:482;3:8,3
purple,purple,word,紫色むらさきいろ,紫色むらさきいろ,junior_high,1,5,5;4,,5:453;4:446,2
queen,queen,word,女王じょおう,女王じょおう,junior_high,1,5,5;4,,5:349;4:533,2
rabbit,rabbit,word,ウサギ,ウサギ,junior_high,1,5,5;4,,5:431;4:135,2
rainy,rainy,word,雨降あめふりの,雨降あめふりの,junior_high,1,5,5;4;3,形容詞,5:332;4:181;3:359,3
really,really,word,本当ほんとうに,本当ほんとうに,junior_high,1,5,5;4;3,副詞,5:451;4:618;3:156,3
red,red,word,赤あかい,赤あかい,junior_high,1,5,5;4,,5:37;4:676,2
ride,ride,word,乗のる,乗のる,junior_high,1,5,5;4;3,動詞,5:148;4:698;3:354,3
right,right,word,右みぎに,右みぎに / 正ただしい / 正しい，正確な,junior_high,1,5,5;4;3;pre2;2,副詞;形容詞,5:264;4:33;4:41;3:305;pre2:236;2:1612,6
river,river,word,川かわ,川かわ,junior_high,1,5,5;4;3,名詞,5:345;4:53;3:579,3
room,room,word,部屋へや,部屋へや,junior_high,1,5,5;4,,5:165;4:378,2
ruler,ruler,word,定規じょうぎ,定規じょうぎ,junior_high,1,5,5;4,,5:368;4:616,2
run,run,word,を主催しゅさいする,を主催しゅさいする / 走はしる,junior_high,1,5,5;4;3,動詞,5:43;4:594;3:996,3
sad,sad,word,悲かなしい,悲かなしい,junior_high,1,5,5;4;3,形容詞,5:82;4:383;3:134,3
salad,salad,word,サラダ,サラダ,junior_high,1,5,5;4;3,名詞,5:339;4:631;3:485,3
same,same,word,同おなじ,同おなじ,junior_high,1,5,5;4;3,形容詞,5:201;4:64;3:433,3
school,school,word,学校がっこう,学校がっこう,junior_high,1,5,5;4,,5:384;4:265,2
science,science,word,科学かがく,科学かがく / 科学，自然科学,junior_high,1,5,5;4;3;pre2;2,名詞,5:484;4:216;3:41;pre2:1168;2:1731,5
scientist,scientist,word,科学者かがくしゃ,科学者かがくしゃ / 科学者，研究者,junior_high,1,5,5;4;3;2,名詞,5:575;4:286;3:358;2:48,4
sea,sea,word,海うみ,海うみ,junior_high,1,5,5;4,,5:92;4:38,2
season,season,word,季節きせつ,季節きせつ,junior_high,1,5,5;4;3,名詞,5:386;4:275;3:173,3
second,second,word,秒びょう,秒びょう / 2番目ばんめ,junior_high,1,5,5;4;3,名詞,5:450;4:259;3:869,3
see,see,word,見みる,見みる / 分わかる,junior_high,1,5,5;4;3,動詞,5:30;4:15;4:45;3:512,4
seven,seven,word,7,7,junior_high,1,5,5;4,,5:310;4:240,2
seventeen,seventeen,word,17,17,junior_high,1,5,5;4,,5:556;4:468,2
seventy,seventy,word,70,70,junior_high,1,5,5;4,,5:487;4:219,2
she,she,word,彼女かのじょは,彼女かのじょは,junior_high,1,5,5;4,,5:38;4:197,2
sheep,sheep,word,ヒツジ,ヒツジ,junior_high,1,5,5;4,,5:292;4:451,2
ship,ship,word,船ふね,船ふね,junior_high,1,5,5;4,,5:234;4:267,2
shop,shop,word,店みせ,店みせ,junior_high,1,5,5;4,,5:215;4:274,2
short,short,word,短みじかい,短みじかい,junior_high,1,5,5;4,,5:313;4:277,2
